127.0.0.1 - - [30/Jul/2015:21:12:20 +0800] "GET /janjan/resources/css/layout.css HTTP/1.1" 200 2831
127.0.0.1 - - [30/Jul/2015:21:12:20 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.css HTTP/1.1" 200 35285
127.0.0.1 - - [30/Jul/2015:21:12:20 +0800] "GET /janjan/resources/jquery/jquery-1.11.3.min.js HTTP/1.1" 200 95957
127.0.0.1 - - [30/Jul/2015:21:12:20 +0800] "GET /janjan/resources/jquery/twzipcode/jquery.twzipcode.min.js HTTP/1.1" 200 15568
127.0.0.1 - - [30/Jul/2015:21:12:20 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.min.js HTTP/1.1" 200 240427
127.0.0.1 - - [30/Jul/2015:21:12:20 +0800] "GET /janjan/resources/jquery/validation/1.14.0/additional-methods.min.js HTTP/1.1" 200 17210
127.0.0.1 - - [30/Jul/2015:21:12:20 +0800] "GET /janjan/resources/jquery/mask/jquery.mask.min.js HTTP/1.1" 200 5993
127.0.0.1 - - [30/Jul/2015:21:12:20 +0800] "GET /janjan/resources/jquery/validation/1.14.0/jquery.validate.min.js HTTP/1.1" 200 21090
127.0.0.1 - - [30/Jul/2015:21:12:20 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-bg_loop_25_000000_21x21.png HTTP/1.1" 200 285
127.0.0.1 - - [30/Jul/2015:21:12:22 +0800] "POST /janjan/j_spring_security_logout HTTP/1.1" 302 -
127.0.0.1 - - [30/Jul/2015:21:12:22 +0800] "GET /janjan/register HTTP/1.1" 200 9879
127.0.0.1 - - [30/Jul/2015:21:12:23 +0800] "GET /janjan/resources/css/layout.css HTTP/1.1" 200 2831
127.0.0.1 - - [30/Jul/2015:21:12:23 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.css HTTP/1.1" 200 35285
127.0.0.1 - - [30/Jul/2015:21:12:23 +0800] "GET /janjan/resources/jquery/jquery-1.11.3.min.js HTTP/1.1" 200 95957
127.0.0.1 - - [30/Jul/2015:21:12:23 +0800] "GET /janjan/resources/jquery/twzipcode/jquery.twzipcode.min.js HTTP/1.1" 200 15568
127.0.0.1 - - [30/Jul/2015:21:12:23 +0800] "GET /janjan/resources/jquery/mask/jquery.mask.min.js HTTP/1.1" 200 5993
127.0.0.1 - - [30/Jul/2015:21:12:23 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.min.js HTTP/1.1" 200 240427
127.0.0.1 - - [30/Jul/2015:21:12:23 +0800] "GET /janjan/resources/jquery/validation/1.14.0/additional-methods.min.js HTTP/1.1" 200 17210
127.0.0.1 - - [30/Jul/2015:21:12:23 +0800] "GET /janjan/resources/jquery/validation/1.14.0/jquery.validate.min.js HTTP/1.1" 200 21090
127.0.0.1 - - [30/Jul/2015:21:12:23 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-bg_loop_25_000000_21x21.png HTTP/1.1" 200 285
